,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,comp_name,region,country,season_start_year,squad,player_num,player_name_x,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url,matched_player_name,minutes_played,player_name_y,headed_xg,regular_shots_xg,xg_total,xg_p90,total_goals,goals_p90,difference,total_shots,shots_p90,total_take_ons,take_ons_p90,total_carries,carries_p90,total_crosses_attempted,crosses_attempted_p90,total_assists,assists_p90,total_key_passes,key_passes_p90,total_xA,xA_p90
10,88,12614,12615,Ligue 1,Europe,France,2016,Stade Rennais FC,-,Paul-Georges Ntep,Left Winger,1992-07-29,23.0,Cameroon,Amiens SC,1.8,right,2014-01-29,FC Stade Rennes B,0,8000000.0,https://www.transfermarkt.com/paul-georges-ntep/profil/spieler/148955,Paul-Georges Ntep de Madiba,934,Paul-Georges Ntep de Madiba,0.0,2.1331541175,2.1331541175,0.20555018262847966,2.0,0.19271948608137046,-0.13315411750000017,21.0,2.02355460385439,65.0,6.263383297644539,398.0,38.35117773019272,26.0,2.5053533190578157,3.0,0.2890792291220557,17.0,1.6381156316916488,0.809108805,0.07796551654175589
11,117,12943,12944,Ligue 1,Europe,France,2016,EA Guingamp,10,Nicolas Benezet,Left Winger,1991-02-24,25.0,France,FC Girondins Bordeaux,1.7,right,2015-07-03,KSC Lokeren,0,2000000.0,https://www.transfermarkt.com/nicolas-benezet/profil/spieler/164230,Nicolas Benezet,1246,Nicolas Benezet,0.0,2.180353441,2.180353441,0.1574894138764045,4.0,0.28892455858747995,1.8196465590000002,23.0,1.6613162118780098,53.0,3.828250401284109,489.0,35.321027287319424,62.0,4.478330658105939,4.0,0.28892455858747995,35.0,2.528089887640449,2.378982721,0.17183663313804173
12,140,19533,19534,Bundesliga,Europe,Germany,2016,Hamburger SV,17,Filip Kostic,Left Midfield,1992-11-01,23.0,Serbia,Birmingham City,1.84,left,2016-07-25,FC Barcelona,2021-06-30,8000000.0,https://www.transfermarkt.com/filip-kostic/profil/spieler/161011,Filip Kostić,2608,Filip Kostić,0.058199875,3.9572400892,4.0154399642,0.13856963066641104,5.0,0.17254601226993865,0.9845600358000004,47.0,1.6219325153374233,88.0,3.03680981595092,975.0,33.64647239263803,162.0,5.590490797546012,5.0,0.17254601226993865,71.0,2.4501533742331287,6.141895928,0.21195193003067483
13,145,19574,19575,Bundesliga,Europe,Germany,2016,1.FSV Mainz 05,17,Jairo Samperio,Left Winger,1993-07-11,22.0,Spain,FC Cartagena,1.73,right,2014-08-29,Eintracht Braunschweig,0,4000000.0,https://www.transfermarkt.com/jairo-samperio/profil/spieler/171167,Jairo Samperio Bustara,2312,Jairo Samperio Bustara,0.26843196,3.7376339202,4.0060658801999995,0.1559454711150519,7.0,0.27249134948096887,2.9939341198000005,39.0,1.5181660899653981,106.0,4.126297577854672,819.0,31.88148788927336,25.0,0.9731833910034602,4.0,0.15570934256055363,23.0,0.8953287197231834,2.042127963,0.07949460063581315
14,148,19640,19641,Bundesliga,Europe,Germany,2016,TSG 1899 Hoffenheim,17,Steven Zuber,Left Midfield,1991-08-17,24.0,Switzerland,1.FC Magdeburg,1.82,right,2014-08-14,TSG 1899 Hoffenheim U19,0,5000000.0,https://www.transfermarkt.com/steven-zuber/profil/spieler/68033,Steven Zuber,574,Steven Zuber,0.35406892,0.7386442365,1.0927131565,0.17133133115853658,2.0,0.313588850174216,0.9072868435000001,17.0,2.6655052264808363,22.0,3.449477351916376,215.0,33.71080139372822,11.0,1.724738675958188,0.0,0.0,7.0,1.0975609756097562,0.519945003,0.08152447782229966
15,149,19644,19645,Bundesliga,Europe,Germany,2016,TSG 1899 Hoffenheim,30,Philipp Ochs,Left Winger,1997-04-17,19.0,Germany,TSG 1899 Hoffenheim,1.75,left,2015-07-01,SSC Napoli,0,1000000.0,https://www.transfermarkt.com/philipp-ochs/profil/spieler/207592,Philipp Ochs,559,Philipp Ochs,0.0,0.190011691,0.190011691,0.03059222216457961,0.0,0.0,0.0,5.0,0.8050089445438282,6.0,0.9660107334525938,179.0,28.81932021466905,2.0,0.3220035778175313,1.0,0.16100178890876565,6.0,0.9660107334525938,1.527269772,0.24589316543828266
16,157,19822,19823,Bundesliga,Europe,Germany,2016,Eintracht Frankfurt,-,Ante Rebic,Left Winger,1993-09-21,22.0,Croatia,1. FC Köln,1.85,right,2016-07-05,Everton FC,0,2500000.0,https://www.transfermarkt.com/ante-rebic/profil/spieler/187587,Ante Rebić,755,Ante Rebić,0.6028065,0.643626534,1.246433034,0.14858142127152318,1.0,0.11920529801324503,-0.24643303400000005,17.0,2.0264900662251657,40.0,4.768211920529802,336.0,40.05298013245033,25.0,2.980132450331126,0.0,0.0,4.0,0.4768211920529801,0.179654372,0.021415752953642384
17,179,27827,27828,Serie A,Europe,Italy,2016,AC Milan,11,Lucas Ocampos,Left Winger,1994-07-11,21.0,Argentina,Al-Ahli Jeddah,1.87,both,2017-01-30,Milan Primavera,0,5500000.0,https://www.transfermarkt.com/lucas-ocampos/profil/spieler/189441,Lucas Ariel Ocampos,756,Lucas Ariel Ocampos,0.62124495,1.502547201,2.123792151,0.25283239892857146,1.0,0.11904761904761904,-1.123792151,22.0,2.619047619047619,38.0,4.523809523809524,304.0,36.19047619047619,13.0,1.5476190476190474,0.0,0.0,6.0,0.7142857142857142,0.282700793,0.03365485630952381
18,180,27863,27864,Serie A,Europe,Italy,2016,ACF Fiorentina,16,Cristian Tello,Left Winger,1991-08-11,24.0,Spain,Club Deportivo Maldonado,1.78,both,2016-08-16,FC Viitorul Constanta,0,8000000.0,https://www.transfermarkt.com/cristian-tello/profil/spieler/141834,Cristian Tello Herrera,1086,Cristian Tello Herrera,0.0,2.744846362,2.744846362,0.22747345541436464,2.0,0.16574585635359115,-0.7448463620000001,22.0,1.8232044198895028,59.0,4.889502762430939,524.0,43.425414364640886,42.0,3.480662983425414,4.0,0.3314917127071823,18.0,1.4917127071823204,1.605557749,0.13305727201657458
19,190,28003,28004,Serie A,Europe,Italy,2016,Genoa CFC,22,Darko Lazovic,Left Midfield,1990-09-15,25.0,Serbia,Brescia Calcio,1.81,right,2015-07-01,Chievo Verona,0,2500000.0,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411,Darko Lazović,645,Darko Lazović,0.0,1.2206803645,1.2206803645,0.17032749272093023,0.0,0.0,0.0,17.0,2.3720930232558137,31.0,4.325581395348837,289.0,40.32558139534884,28.0,3.9069767441860463,2.0,0.27906976744186046,11.0,1.5348837209302326,0.388277429,0.054178245906976744
20,214,28455,28456,Serie A,Europe,Italy,2016,Palermo FC,8,Aleksandar Trajkovski,Left Winger,1992-09-05,23.0,North Macedonia,SSD Dattilo 1980,1.79,right,2015-07-01,AIK,0,900000.0,https://www.transfermarkt.com/aleksandar-trajkovski/profil/spieler/142920,Aleksandar Trajkovski,1634,Aleksandar Trajkovski,0.29182254,2.16769832,2.45952086,0.1354693252141983,3.0,0.16523867809057527,0.54047914,39.0,2.1481028151774786,47.0,2.5887392900856794,594.0,32.71725826193391,46.0,2.533659730722154,1.0,0.055079559363525085,22.0,1.211750305997552,1.026937516,0.056563265875153
21,232,35901,35902,LaLiga,Europe,Spain,2016,Valencia CF,11,Zakaria Bakkali,Left Winger,1996-01-26,20.0,Belgium,FC Cartagena,1.68,right,2015-07-06,SL Benfica,0,2000000.0,https://www.transfermarkt.com/zakaria-bakkali/profil/spieler/203378,Zakaria Bakkali,552,Zakaria Bakkali,0.0,0.572535457,0.572535457,0.09334817233695651,1.0,0.16304347826086957,0.42746454300000003,13.0,2.119565217391304,31.0,5.054347826086956,250.0,40.76086956521739,30.0,4.891304347826087,3.0,0.4891304347826087,9.0,1.467391304347826,0.587593882,0.09580335032608696
22,239,35980,35981,LaLiga,Europe,Spain,2016,Villarreal CF,7,Denis Cheryshev,Left Winger,1990-12-26,25.0,Russia,UD Almería,1.79,left,2016-07-01,Club Atlético Huracán,2021-06-30,3000000.0,https://www.transfermarkt.com/denis-cheryshev/profil/spieler/98322,Denis Cheryshev,515,Denis Cheryshev,0.28529865,0.955260361,1.240559011,0.21679672036893202,3.0,0.5242718446601942,1.759440989,14.0,2.4466019417475726,19.0,3.320388349514563,231.0,40.36893203883495,10.0,1.7475728155339805,1.0,0.17475728155339806,3.0,0.5242718446601942,0.51625134,0.090218680776699
23,245,36087,36088,LaLiga,Europe,Spain,2016,Celta de Vigo,7,Theo Bongonda,Left Winger,1995-11-20,20.0,Belgium,KRC Genk,1.77,left,2015-01-09,Gimnàstic de Tarragona,0,3000000.0,https://www.transfermarkt.com/theo-bongonda/profil/spieler/280701,Théo Bongonda MbulOfeko Batombo,1198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,267,36297,36298,LaLiga,Europe,Spain,2016,UD Las Palmas,9,Marko Livaja,Left Winger,1993-08-26,22.0,Croatia,UD Las Palmas,1.82,right,2016-07-15,Levante UD,0,2500000.0,https://www.transfermarkt.com/marko-livaja/profil/spieler/95438,Marko Livaja,591,Marko Livaja,0.0,0.7541269815,0.7541269815,0.11484167230964466,1.0,0.15228426395939085,0.24587301849999998,16.0,2.4365482233502536,20.0,3.045685279187817,215.0,32.74111675126904,12.0,1.8274111675126903,0.0,0.0,5.0,0.7614213197969543,0.64663665,0.09847258629441626
